Feature,Role,Variable Type,Demographic,Description
B14002039,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002040,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002041,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002042,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002043,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002044,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002045,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002046,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002047,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002048,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002049,Feature,Integer,Female population 3 years and over not enrolled in school,Number of female population 3 years and over not enrolled in school in the census tract (ACS 5-year estimate).
B14003001,Feature,Integer,Total population,Number of total enrollment by type of school by age for population 3 years and over in the census tract (ACS 5-year estimate).
B14003002,Feature,Integer,Total Male,Number of total male enrollment by type of school by age for population 3 years and over in the census tract (ACS 5-year estimate).
B14003003,Feature,Integer,Total Male Enrolled in public school,Number of total male enrolled in public school in the census tract (ACS 5-year estimate).
B14003004,Feature,Integer,Total Male Enrolled in public school 3 and 4 years,Number of total male enrolled in public school 3 and 4 years in the census tract (ACS 5-year estimate).
B14003005,Feature,Integer,Total Male Enrolled in public school 5 to 9 years,Number of total male enrolled in public school 5 to 9 years in the census tract (ACS 5-year estimate).
B14003006,Feature,Integer,Total Male Enrolled in public school 10 to 14 years,Number of total male enrolled in public school 10 to 14 years in the census tract (ACS 5-year estimate).
B14003007,Feature,Integer,Total Male Enrolled in public school 15 to 17 years,Number of total male enrolled in public school 15 to 17 years in the census tract (ACS 5-year estimate).
B14003008,Feature,Integer,Total Male Enrolled in public school 18 and 19 years,Number of total male enrolled in public school 18 and 19 years in the census tract (ACS 5-year estimate).
B14003009,Feature,Integer,Total Male Enrolled in public school 20 to 24 years,Number of total male enrolled in public school 20 to 24 years in the census tract (ACS 5-year estimate).
